ROM Name,Genre,Publisher
NFL Quarterback Club.smc,Sports,LJN Toys
NHL '96.smc,Sports,EA Sports
NHL '97.smc,Sports,Unknown Publisher
NHL '98.smc,Sports,EA Sports
NHL Stanley Cup.smc,Sports,Nintendo
NHLPA Hockey '93.smc,Sports,Electronic Arts
Nickelodeon GUTS.smc,Sports,Viacom New Media
Nolan Ryan's Baseball.smc,Sports,Unknown Publisher
Olympic Summer Games.smc,Sports,Unknown Publisher
PGA European Tour.smc,Sports,Infogrames
PGA Tour 96.smc,Sports,Unknown Publisher
Pro Quarterback.smc,Sports,Leland Interactive Media
Pro Sport Hockey.smc,Sports,Tose
Rap Jam - Volume One.sfc,Sports,Mandingo Entertainment
Relief Pitcher.smc,Sports,Unknown Publisher
Sensible Soccer.sfc,Sports,Kuju Wireless Publishing
Side Pocket.smc,Sports,Data East
Smash Tennis.sfc,Sports,Namco
Sterling Sharpe - End 2 End.smc,Sports,Unknown Publisher
Street Hockey '95.smc,Sports,Unknown Publisher
Super Baseball Simulator 1.000.smc,Sports,Culture Brain
Super Bases Loaded 2.smc,Sports,Jaleco
Super Bases Loaded 3 - License to Steal.smc,Sports,Unknown Publisher
Super Bases Loaded.smc,Sports,Tose
Super Batter Up.smc,Sports,Namco
Super Black Bass.smc,Sports,HOT-B
Super Bowling.smc,Sports,KID
Super Goal! 2.smc,Sports,Unknown Publisher
Super High Impact.smc,Sports,Unknown Publisher
Super Ice Hockey.sfc,Sports,Unknown Publisher
Super Play Action Football.smc,Sports,Nintendo
Super Punch-Out!!.smc,Sports,HAMSTER
Super R.B.I. Baseball.smc,Sports,Gray Matter
Super Slam Dunk.smc,Sports,Unknown Publisher
Super Soccer Champ.smc,Sports,Unknown Publisher
Super Soccer.smc,Sports,St. GIGA
Super Tennis.smc,Sports,Tonkin House
Tecmo Super Baseball.smc,Sports,Unknown Publisher
Tecmo Super Bowl II - Special Edition.smc,Sports,Tecmo
Tecmo Super Bowl III - Final Edition.smc,Sports,Tecmo
Tecmo Super Bowl.smc,Sports,Tecmo
Tecmo Super NBA Basketball.smc,Sports,Tecmo
Tiny Toon Adventures - Wacky Sports Challenge.smc,Sports,Konami
TKO Super Championship Boxing.smc,Sports,Unknown Publisher
TNN Bass Tournament of Champions.smc,Sports,Unknown Publisher
Tommy Moe's Winter Extreme - Skiing & Snowboarding.smc,Sports,Loriciel
Tony Meola's Sidekick Soccer.smc,Sports,Sculptured Software
Troy Aikman NFL Football.smc,Sports,Unknown Publisher
True Golf - Wicked 18.smc,Sports,Unknown Publisher
True Golf Classics - Pebble Beach Golf Links.smc,Sports,T&E Soft
True Golf Classics - Waialae Country Club.smc,Sports,T&E Soft
Virtual Soccer.sfc,Sports,Unknown Publisher
Wayne Gretzky and the NHLPA All-Stars.smc,Sports,Semi Logic Entertainments
WCW SuperBrawl Wrestling.smc,Sports,Beam Software
Winter Gold.sfc,Sports,Unknown Publisher
World Class Rugby.sfc,Sports,Unknown Publisher
World Cup USA '94.smc,Sports,Tiger Electronics
World League Soccer.smc,Sports,Unknown Publisher
World Masters Golf.sfc,Sports,Arc Developments
World Soccer '94 - Road to Glory.smc,Sports,Rage Software
College Football USA '97 - The Road to New Orleans.sfc,Sports,Unknown Publisher
FIFA 97 - Gold Edition.sfc,Sports,Unknown Publisher
B.O.B..smc,Action,DECA Games
Biker Mice from Mars.sfc,Action,Unknown Publisher
"The Chessmaster.smc",Strategy,NovaLogic
Eye of the Beholder.smc,RPG,Capcom
Gemfire.smc,Strategy,Koei
Gods.smc,Action,M3 Games
Ka-Blooey.smc,Puzzle,Kemco
Knights of the Round.smc,Beat em up,Unknown Publisher
Liberty or Death.smc,Strategy,Koei
Metal Marines.smc,Strategy,Mindscape
Nobunaga's Ambition.smc,Strategy,Koei
Ogre Battle - The March of the Black Queen.smc,Strategy,Atlus USA
P.T.O. - Pacific Theater of Operations.smc,Strategy,Koei
Populous II - Trials of the Olympian Gods.sfc,Strategy,Bullfrog Productions
Populous.smc,Strategy,Unknown Publisher
PowerMonger.sfc,Strategy,Bullfrog Productions
Romance of the Three Kingdoms II.smc,Strategy,Koei
Sid Meier's Civilization.smc,Strategy,"MicroProse Software, Inc."
Super Battleship.smc,Strategy,Mindscape
Super Bomberman 3.sfc,Puzzle,St. GIGA
Super Solitaire.smc,Puzzle,Laser Beam
Syndicate.smc,Strategy,Bullfrog Productions
Vegas Stakes.smc,Strategy,Nintendo
War 2410.smc,Strategy,Unknown Publisher
War 3010 - The Revolution.smc,Strategy,"Advanced Productions, Inc."
Worms.sfc,Strategy,Team17
"The 7th Saga.sfc",RPG,Enix Corporation
Addams Family Values.smc,Action,Ocean Software
Alcahest.sfc,RPG,Square
Brandish.smc,RPG,Nihon Falcom
Breath of Fire II.smc,RPG,Leguna
Breath of Fire.smc,RPG,Capcom
Dragon View.sfc,RPG,Kemco
Drakkhen.smc,RPG,Infogrames
Final Fantasy - Mystic Quest.smc,RPG,Nintendo
Final Fantasy II.smc,RPG,Square Enix Creative Business Unit IV
Harvest Moon.smc,Simulation,Rising Star Games
Hit the Ice.smc,Sports,Taito
Illusion of Gaia.smc,RPG,Nintendo
Inindo - Way of the Ninja.sfc,RPG,Koei
"J.R.R. Tolkien's The Lord of the Rings, Volume I.smc",RPG,Interplay Productions
King Arthur & the Knights of Justice.smc,RPG,Enix America Corporation
"The King of Dragons.smc",Beat em up,Capcom
King of the Monsters.smc,Fighting,NickB
Lagoon.smc,RPG,Seika Corporation
"The Legend of Zelda - A Link to the Past.smc",RPG,Nintendo
Legend.sfc,RPG,XSEED Games
Might and Magic II - Gates to Another World.sfc,RPG,Electronic Arts
Might and Magic III - Isles of Terra.smc,RPG,FCI
Robotrek.sfc,RPG,Quintet
Secret of Evermore.smc,RPG,SquareSoft USA
Secret of Mana.smc,RPG,Q Studios
Soul Blazer.smc,RPG,St. GIGA
Super Mario RPG - Legend of the Seven Stars.smc,RPG,Square
Super Ninja Boy.sfc,RPG,Culture Brain Inc.
Tecmo Secret of the Stars.sfc,RPG,Tecmo
Terranigma.smc,RPG,Nintendo
"The Twisted Tales of Spike McFang.sfc",RPG,Unknown Publisher
Ultima - Runes of Virtue II.smc,RPG,FCI
Ultima VI - The False Prophet.smc,RPG,Pony Canyon
Ultima VII - The Black Gate.smc,RPG,Origin Systems
Uncharted Waters - New Horizons.smc,RPG,Tecmo Koei Games
Uncharted Waters.smc,RPG,Unknown Publisher
Wizardry V - Heart of the Maelstrom.sfc,RPG,Nintendo
Chrono Trigger.smc,RPG,St. GIGA
Final Fantasy III (BraveNewWorld 2.0).smc,RPG,Unknown Publisher
Final Fantasy III.smc,RPG,Square Enix
A.S.P. - Air Strike Patrol.smc,Shooter,SETA
"The Adventures of Batman & Robin.smc",Action,Sega
Aero Fighters.smc,Shooter,Mc O'River
Air Cavalry.smc,Shooter,"Synergistic Software, Inc."
Alien vs Predator.smc,Action,Images Software
Axelay.smc,Shooter,Konami
Battle Cars.smc,Action,TinyBytes
Bazooka Blitzkrieg.smc,Shooter,Tose
BioMetal.smc,Shooter,Activision
BlaZeon - The Bio-Cyborg Challenge.sfc,Shooter,Atlus
Bram Stoker's Dracula.sfc,Action,TAG
Cannon Fodder.sfc,Shooter,Virgin Interactive Entertainment (Europe) Ltd.
Contra III - The Alien Wars.smc,Shooter,Konami
Cybernator.smc,Shooter,NCS Corporation
D-Force.smc,Shooter,Asmik Ace
Darius Twin.smc,Shooter,Square Enix
Doom Troopers.smc,Action,Adrenalin Entertainment
Doom.smc,Shooter,"Nerve Software, LLC"
Earthworm Jim 2.smc,Action,Realtec
Earthworm Jim.smc,Action,Shiny Entertainment
Faceball 2000.smc,Shooter,Xanth Software F/X
Final Fight 2.sfc,Beat em up,Rainbow Arts
"The Firemen.smc",Action,Nintendo
Firepower 2000.sfc,Shooter,Time Warner Interactive
Ghoul Patrol.smc,Action,LucasArts
Gradius III.smc,Shooter,Konami
GunForce.smc,Shooter,Irem
"The Humans.sfc",Puzzle,Half-Life 2: Short Stories Team
HyperZone.smc,Shooter,HAL Laboratory
Imperium.smc,Action,Unknown Publisher
James Bond Jr..smc,Action,Eurocom Developments
Jungle Strike.smc,Action,Electronic Arts
Jurassic Park Part 2 - The Chaos Continues.smc,Action,Magic Pockets
Lethal Enforcers.smc,Shooter,Konami
Lethal Weapon.smc,Action,Ocean Software
"The Mask.sfc",Action,Gremlin Graphics Software Ltd.
Mechwarrior 3050.smc,Action,Malibu Interactive
Mega Man 7.smc,Action,Capcom
Mega Man X2.smc,Action,Programer Peru
Mega Man X3.smc,Action,Virgin Interactive Entertainment (Europe) Ltd.
Metal Combat - Falcon's Revenge.smc,Shooter,Intelligent Systems
Metal Morph.smc,Action,Unknown Publisher
Metal Warriors.smc,Action,LucasArts
Ms. Pac-Man.smc,Arcade,Jakks Pacific
Operation Logic Bomb.smc,Shooter,St. GIGA
Operation Thunderbolt.smc,Shooter,Ocean Software
Pocky & Rocky 2.smc,Shooter,Playtronic
Pocky & Rocky.smc,Shooter,Natsume Inc.
Pop'n Twinbee.smc,Shooter,Konami
R-Type III - The Third Lightning.sfc,Shooter,Zoo Digital
Raiden Trad.smc,Shooter,Tec Toy
Revolution X.smc,Shooter,Midway Games
Rex Ronan - Experimental Surgeon.smc,Action,Sculptured Software
RoboCop versus The Terminator.smc,Action,Virgin Games
"The Rocketeer.smc",Action,Laser
SeaQuest DSV.smc,Action,Malibu Games
Shadowrun.smc,RPG,Microsoft Game Studios
Shien's Revenge.smc,Action,Vic Tokai
"The Simpsons - Bart's Nightmare.smc",Action,Sculptured Software
Soldiers of Fortune.smc,Action,Majesco Entertainment
SOS.smc,Action,Outpost Games
Space Football - One on One.smc,Sports,Unknown Publisher
Space Invaders.smc,Shooter,Crawfish Interactive
Space Megaforce.smc,Shooter,Compile
Spectre.sfc,Action,Symbiosis Games
Star Fox.sfc,Shooter,Nintendo EAD
Stargate.smc,Action,Atari
Strike Gunner S.T.G..sfc,Shooter,NTV International Corporation (NTVIC)
Sunset Riders.smc,Action,Konami
Super Dropzone.sfc,Shooter,Psygnosis
Super E.D.F. - Earth Defense Force.sfc,Shooter,Jaleco
Super R-Type.smc,Shooter,Nintendo
Super Scope 6.sfc,Shooter,Playtronic
Super Smash T.V..smc,Shooter,Probe Software
Super Strike Eagle.smc,Shooter,Unknown Publisher
Super Turrican 2.smc,Shooter,Factor 5
Super Turrican.smc,Shooter,Imagineer
SWAT Kats - The Radical Squadron.smc,Action,Hudson Soft
Syvalion.sfc,Action,Unknown Publisher
T2 - The Arcade Game.smc,Shooter,Midway
"The Terminator.smc",Action,Unknown Publisher
Thunder Spirits.smc,Shooter,Technosoft
Time Trax.smc,Action,Argus Press Software Ltd.
Tin Star.smc,Action,Software Creations
Total Carnage.smc,Shooter,Midway Games
Turn and Burn - No-Fly Zone.smc,Shooter,Unknown Publisher
U.N. Squadron.smc,Shooter,Capcom
Urban Strike.smc,Action,Electronic Arts
WarpSpeed.smc,Shooter,Accolade
Wild Guns.smc,Shooter,Titus Software
Wing Commander - The Secret Missions.sfc,Shooter,Playtronic
Wolfenstein 3D.smc,Shooter,id Software
X-Zone.smc,Action,Kemco
Xardion.smc,Action,Jorudan
Yoshi's Safari.smc,Shooter,Nintendo
Zombies Ate My Neighbors.smc,Action,Konami
Mega Man X.smc,Action,Unknown Publisher
Fun 'n Games.smc,Music,Unknown Publisher
Mario Paint.smc,Simulation,Nintendo R&D1
"The Miracle Piano Teaching System.sfc",Music,The Software Toolworks
Pinball Fantasies.smc,Pinball,"GameTek, Inc."
Super Pinball - Behind the Mask.smc,Pinball,Nintendo of America
AAAHH!!! Real Monsters.smc,Platformer,Viacom New Media
ActRaiser 2.smc,Platformer,Enix America Corporation
ActRaiser.smc,Simulation,Macrospace
"The Adventures of Dr. Franken.sfc",Platformer,MotiveTime Ltd
Adventures of Yogi Bear.sfc,Platformer,Empire Interactive
Aero the Acro-bat 2.smc,Platformer,Ratalaika Games
Aero the Acro-bat.smc,Platformer,Zoo Digital
Animaniacs.smc,Platformer,Konami
Ardy Lightfoot.sfc,Platformer,ASCII Corporation
Batman Returns.smc,Action,Unknown Publisher
Battletoads in Battlemaniacs.smc,Platformer,Tradewest Inc
Beavis and Butt-Head.smc,Platformer,Torus Games
Blackthorne.smc,Platformer,Mass Media Inc
Boogerman - A Pick and Flick Adventure.smc,Platformer,Interplay
Bronkie the Bronchiasaurus.smc,Platformer,Raya Systems
Bubsy II.smc,Platformer,Accolade
Bubsy in - Claws Encounters of the Furred Kind.smc,Platformer,Playtronic
Bugs Bunny Rabbit Rampage.sfc,Platformer,SUNSOFT
Captain Novolin.smc,Educational,Unknown Publisher
Castlevania - Dracula X.smc,Platformer,St. GIGA
Chester Cheetah - Too Cool to Fool.smc,Platformer,System Vision
Chuck Rock.smc,Platformer,Core Design
Claymates.smc,Platformer,Interplay Productions
Congo's Caper.smc,Platformer,Data East
Cool Spot.smc,Platformer,Virgin Games
CutThroat Island.smc,Platformer,Playtronic
Daffy Duck - The Marvin Missions.smc,Platformer,Playtronic
Daze Before Christmas.sfc,Platformer,Funcom
Demolition Man.smc,Platformer,Virgin Interactive Entertainment
Demon's Crest.smc,Platformer,Capcom
Disney's Beauty and the Beast.smc,Platformer,Probe Software
Donkey Kong Country 2 - Diddy's Kong Quest.smc,Platformer,Rare
Donkey Kong Country 3 - Dixie Kong's Double Trouble!.smc,Platformer,Nintendo
